id,date,primary_type,description,arrest,community_area,latitude,longitude,year,month,day,hour
13140855,2023-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,0,46.0,41.745738706,-87.57588269,2023,1,1,0
12938772,2023-01-01 00:00:00,CRIMINAL SEXUAL ASSAULT,PREDATORY,1,68.0,41.760645062,-87.651574764,2023,1,1,0
13060487,2023-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,0,30.0,41.853202129,-87.699132122,2023,1,1,0
13222722,2023-01-01 00:00:00,THEFT,OVER $500,0,77.0,41.976851852,-87.654999693,2023,1,1,0
13223672,2023-01-01 00:00:00,DECEPTIVE PRACTICE,EMBEZZLEMENT,0,28.0,41.887136371,-87.655685196,2023,1,1,0
13230245,2023-01-01 00:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,0,49.0,41.710038846,-87.611405921,2023,1,1,0
13239074,2023-01-01 00:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,0,42.0,41.783134908,-87.6059887,2023,1,1,0
13010320,2023-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,0,23.0,41.903485987,-87.731963815,2023,1,1,0
13249036,2023-01-01 00:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,0,24.0,41.911222851,-87.677481081,2023,1,1,0
13269386,2023-01-01 00:00:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,0,77.0,41.990816326,-87.668476414,2023,1,1,0
13283085,2023-01-01 00:00:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,0,74.0,41.692671075,-87.713101736,2023,1,1,0
13291252,2023-01-01 00:00:00,SEX OFFENSE,OTHER,0,27.0,41.886792691,-87.706295532,2023,1,1,0
13297756,2023-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,0,16.0,41.955451519,-87.730038052,2023,1,1,0
13299254,2023-01-01 00:00:00,BURGLARY,UNLAWFUL ENTRY,0,6.0,41.947977584,-87.647652496,2023,1,1,0
13299637,2023-01-01 00:00:00,THEFT,OVER $500,0,24.0,41.904938866,-87.66894203,2023,1,1,0
13300506,2023-01-01 00:00:00,CRIMINAL DAMAGE,TO PROPERTY,0,71.0,41.736689176,-87.647284938,2023,1,1,0
13314916,2023-01-01 00:00:00,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,0,3.0,41.957988526,-87.652736487,2023,1,1,0
13316719,2023-01-01 00:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,0,6.0,41.952543834,-87.663437145,2023,1,1,0
13508999,2023-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,0,66.0,41.785252512,-87.708906576,2023,1,1,0
14066100,2023-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,0,39.0,41.814341505,-87.604476539,2023,1,1,0
12961516,2023-01-01 00:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,0,44.0,41.733602386,-87.617681873,2023,1,1,0
12938493,2023-01-01 00:00:00,CRIMINAL DAMAGE,TO PROPERTY,0,71.0,41.747627622,-87.66822488,2023,1,1,0
13010193,2023-01-01 00:00:00,CRIMINAL TRESPASS,TO RESIDENCE,0,70.0,41.756400635,-87.720947419,2023,1,1,0
12938313,2023-01-01 00:00:00,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,0,16.0,41.94728307,-87.712735192,2023,1,1,0
13032460,2023-01-01 00:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,0,71.0,41.751777294,-87.64041045,2023,1,1,0
12938782,2023-01-01 00:00:00,CRIMINAL DAMAGE,TO VEHICLE,0,72.0,41.705576543,-87.673001757,2023,1,1,0
12941763,2023-01-01 00:00:00,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,0,66.0,41.777051138,-87.708645181,2023,1,1,0
12938456,2023-01-01 00:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,1,31.0,41.854917247,-87.656337419,2023,1,1,0
12995298,2023-01-01 00:00:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,0,68.0,41.777197336,-87.640800466,2023,1,1,0
