community_area,total_crime_count,total_crime_weight,safety_score,avg_latitude,avg_longitude,cluster,risk_level
1,323.1333333333333,1603.8833333333334,76.66033333333333,42.01131121446255,-87.66988475541572,2,Medium Risk
2,294.01666666666665,1441.7,79.08850000000001,41.99967311127487,-87.69294033116037,2,Medium Risk
3,313.28333333333336,1550.1166666666666,77.46483333333335,41.96611032425387,-87.65659767814013,2,Medium Risk
4,161.18333333333334,774.8666666666667,89.07233333333333,41.97238042767036,-87.68888971667873,1,Safe
5,104.6,484.06666666666666,93.42583333333333,41.94761450748885,-87.68259997785213,1,Safe
6,461.96666666666664,2179.9,68.03583333333333,41.94352474215312,-87.65314263381195,2,Medium Risk
7,287.5833333333333,1329.75,80.76516666666666,41.92321301419878,-87.64946880382497,2,Medium Risk
8,800.05,3834.9333333333334,43.256166666666665,41.89741736941441,-87.63068079315876,0,High Risk
9,22.65,97.83333333333333,99.20966666666666,42.00645383002208,-87.81326762325239,1,Safe
10,98.88333333333334,446.15,93.994,41.98509453143435,-87.80116913787292,1,Safe
11,83.81666666666666,392.21666666666664,94.8015,41.97590027580036,-87.76946162596938,1,Safe
12,44.6,198.61666666666667,97.699,41.99023523467862,-87.75240836360238,1,Safe
13,72.96666666666667,354.5,95.3665,41.984887331429874,-87.71672356418456,1,Safe
14,182.73333333333332,913.5833333333334,86.99566666666666,41.96739047382342,-87.71983009412624,1,Safe
15,245.7,1189.3333333333333,82.86683333333333,41.95238222337539,-87.7611006332248,2,Medium Risk
16,206.7,1014.5833333333334,85.48266666666667,41.95330680422512,-87.72116769803257,1,Safe
17,130.45,613.75,91.4845,41.94550584285167,-87.80294589689537,1,Safe
18,51.53333333333333,249.76666666666668,96.93416666666667,41.92939534734799,-87.79827213292367,1,Safe
19,349.5833333333333,1759.8666666666666,74.32416666666667,41.92691298536353,-87.76360852700834,2,Medium Risk
20,113.01666666666667,580.5,91.9825,41.92297857513641,-87.73427075401858,1,Safe
21,164.86666666666667,813.65,88.491,41.93828511635665,-87.71337559765468,1,Safe
22,363.01666666666665,1770.3333333333333,74.16733333333333,41.9225338123594,-87.70050003117396,2,Medium Risk
23,538.6,2818.4666666666667,58.47533333333333,41.90039593804927,-87.71960697598712,0,High Risk
24,559.8166666666667,2762.45,59.31333333333334,41.90148133034624,-87.67579662201912,0,High Risk
25,1027.05,5498.75,18.3445,41.89090478623241,-87.75903626741639,0,High Risk
26,342.8333333333333,1849.1666666666667,72.98716666666665,41.87799654773943,-87.7289347188138,2,Medium Risk
27,317.3833333333333,1716.9333333333334,74.9675,41.87793940891666,-87.70573038733393,2,Medium Risk
28,727.05,3587.5666666666666,46.95933333333333,41.87639577060266,-87.66153110283567,0,High Risk
29,556.3,3018.9666666666667,55.473,41.861089059919706,-87.71670919710589,0,High Risk
30,319.95,1730.65,74.76133333333334,41.84522094488722,-87.71160138766473,2,Medium Risk
31,219.23333333333332,1135.7333333333333,83.66866666666667,41.8542995966246,-87.66737017386346,2,Medium Risk
32,603.2333333333333,2835.3,58.22266666666667,41.87937557492955,-87.62795604473116,0,High Risk
33,185.86666666666667,925.9333333333333,86.81083333333332,41.85845099435079,-87.62405992799498,1,Safe
34,85.21666666666667,453.5833333333333,93.88266666666667,41.8435353745355,-87.63348551457071,1,Safe
35,219.53333333333333,1128.7,83.77483333333333,41.83491773868813,-87.6194765097935,2,Medium Risk
36,63.03333333333333,324.6666666666667,95.8125,41.824204447382336,-87.60566728186144,1,Safe
37,54.483333333333334,297.6,96.21816666666668,41.80680403701438,-87.63233791985316,1,Safe
38,277.51666666666665,1448.5166666666667,78.98616666666666,41.81222644357697,-87.61711059461895,2,Medium Risk
39,139.75,709.2,90.055,41.80871092486584,-87.59756693452593,1,Safe
40,185.06666666666666,999.9333333333333,85.70266666666666,41.790801168137605,-87.62011390579971,1,Safe
41,166.66666666666666,820.7166666666667,88.38566666666667,41.7974744724,-87.5919165223,1,Safe
42,272.81666666666666,1451.5,78.94116666666667,41.77846314215896,-87.60285254261103,2,Medium Risk
43,674.9666666666667,3637.4333333333334,46.213166666666666,41.76218976687738,-87.57302381823794,0,High Risk
44,481.05,2565.25,62.26566666666667,41.743067964695285,-87.61271012971625,0,High Risk
45,95.88333333333334,504.6166666666667,93.11916666666666,41.74444212289241,-87.58695347575178,1,Safe
46,326.4166666666667,1742.6,74.583,41.74217114771509,-87.55723074664284,2,Medium Risk
47,27.283333333333335,141.96666666666667,98.5475,41.72789180696396,-87.59721248930971,1,Safe
48,112.55,594.7833333333333,91.768,41.73044304457278,-87.57535290463497,1,Safe
49,479.6,2545.2,62.5665,41.70515351855713,-87.623794852933,0,High Risk
50,82.86666666666666,425.56666666666666,94.30233333333334,41.70413794670153,-87.60186838314561,1,Safe
51,145.7,757.9666666666667,89.32433333333333,41.71186758773736,-87.5682769269046,1,Safe
52,97.28333333333333,501.43333333333334,93.16566666666667,41.70483070481412,-87.53523754240192,1,Safe
53,298.8333333333333,1583.4,76.96666666666667,41.67562720407139,-87.63428562565534,2,Medium Risk
54,98.01666666666667,538.0666666666667,92.618,41.6558411708893,-87.60600000986227,1,Safe
55,54.6,268.18333333333334,96.6585,41.65785198748473,-87.54517454151404,1,Safe
56,160.33333333333334,757.8,89.32766666666666,41.79677594022869,-87.75889114511435,1,Safe
57,74.38333333333334,375.48333333333335,95.05183333333333,41.80738933632086,-87.72646800851444,1,Safe
58,168.71666666666667,890.8666666666667,87.3355,41.81605933142349,-87.6966285603082,1,Safe
59,71.31666666666666,369.45,95.14216666666667,41.830587632390746,-87.67342437672353,1,Safe
60,121.51666666666667,606.2833333333333,91.5965,41.83669042998217,-87.64778175476614,1,Safe
61,321.3833333333333,1743.5,74.5685,41.80521833044651,-87.66216671684904,2,Medium Risk
62,73.11666666666666,367.48333333333335,95.1715,41.79290307545019,-87.72500809596536,1,Safe
63,168.88333333333333,889.4,87.35683333333333,41.79473682492845,-87.69660001154644,1,Safe
64,84.51666666666667,406.15,94.59233333333333,41.77807371622954,-87.7680714170775,1,Safe
65,131.6,654.9166666666666,90.8685,41.771373766717325,-87.72680654343972,1,Safe
66,411.6333333333333,2177.0,68.07933333333334,41.77443884492671,-87.6931271208195,2,Medium Risk
67,410.45,2232.0333333333333,67.25483333333334,41.77607582084703,-87.66507081292889,2,Medium Risk
68,411.9166666666667,2264.3166666666666,66.772,41.7757080159822,-87.64356524576168,2,Medium Risk
69,509.1333333333333,2774.016666666667,59.140166666666666,41.76262357440749,-87.61811555853083,0,High Risk
70,173.46666666666667,876.8833333333333,87.54483333333333,41.74582093159108,-87.70912647770945,1,Safe
71,529.3666666666667,2807.55,58.63766666666667,41.746335376833954,-87.65550554366854,0,High Risk
72,73.46666666666667,341.15,95.56583333333333,41.71236706828493,-87.67305013384754,1,Safe
73,238.38333333333333,1226.6833333333334,82.30783333333333,41.71945243375516,-87.65013431336084,2,Medium Risk
74,43.61666666666667,195.63333333333333,97.74433333333333,41.694250083683606,-87.70894530760413,1,Safe
75,151.56666666666666,756.15,89.35249999999999,41.68925105014295,-87.66389477039806,1,Safe
76,125.53333333333333,559.5666666666667,92.29566666666666,41.977369724641534,-87.88146907023368,1,Safe
77,239.11666666666667,1164.4833333333333,83.23883333333333,41.98676978302084,-87.66130701268558,2,Medium Risk
