community_area,year,month,total_crime_count,total_crime_weight,avg_latitude,avg_longitude,arrest_rate,risk_score,safety_score
1.0,2015,1,287,1385.0,42.011973228930316,-87.6709248114425,0.303,22.03,77.97
1.0,2015,2,237,1142.0,42.01262260194937,-87.671016149173,0.257,19.76,80.24
1.0,2015,3,289,1394.0,42.01196843421108,-87.67065138442214,0.291,22.25,77.75
1.0,2015,4,234,1109.0,42.012143636841884,-87.67046375560257,0.248,19.55,80.45
1.0,2015,5,328,1587.0,42.01211421751525,-87.67059979380792,0.229,25.03,74.97
1.0,2015,6,294,1397.0,42.01253670154081,-87.67138839580953,0.279,22.49,77.51
1.0,2015,7,358,1762.0,42.01165403676816,-87.67039101502235,0.24,26.76,73.24
1.0,2015,8,310,1473.0,42.012216419196776,-87.66977334432903,0.265,23.49,76.51
1.0,2015,9,336,1623.0,42.01276787770536,-87.6705815766131,0.25,25.23,74.77
1.0,2015,10,324,1590.0,42.012132187876546,-87.67079768209567,0.25,24.76,75.24
1.0,2015,11,250,1181.0,42.013082526256,-87.67126056688,0.268,20.18,79.82
1.0,2015,12,262,1288.0,42.01286248896183,-87.67086892019466,0.172,22.16,77.84
1.0,2016,1,307,1499.0,42.011929714693814,-87.67074245033876,0.221,24.06,75.94
1.0,2016,2,270,1338.0,42.01206157101852,-87.67092988164075,0.23,22.1,77.9
1.0,2016,3,304,1490.0,42.01263302018092,-87.67108843233224,0.207,24.08,75.92
1.0,2016,4,314,1595.0,42.01176464198408,-87.67038143919427,0.207,25.04,74.96
1.0,2016,5,317,1609.0,42.01188323332492,-87.66977800278865,0.183,25.44,74.56
1.0,2016,6,320,1540.0,42.01205113775,-87.67005296410625,0.188,24.94,75.06
1.0,2016,7,311,1471.0,42.01155916446302,-87.66964337340514,0.141,24.73,75.27
1.0,2016,8,329,1647.0,42.01171971990577,-87.67003328548633,0.164,26.13,73.87
1.0,2016,9,313,1526.0,42.01217790163259,-87.67033645788817,0.144,25.15,74.85
1.0,2016,10,315,1543.0,42.01196593172064,-87.67040922094921,0.168,25.06,74.94
1.0,2016,11,292,1448.0,42.01209532741781,-87.67129606361986,0.134,24.28,75.72
1.0,2016,12,254,1252.0,42.01169728465748,-87.67018764551182,0.201,21.45,78.55
1.0,2017,1,285,1367.0,42.01252161923509,-87.67045410189473,0.158,23.31,76.69
1.0,2017,2,293,1417.0,42.012251292723555,-87.67068315420819,0.15,23.9,76.1
1.0,2017,3,289,1359.0,42.0117215593391,-87.67092658577856,0.176,23.14,76.86
1.0,2017,4,335,1617.0,42.01218880495522,-87.67095423276419,0.179,25.87,74.13
1.0,2017,5,367,1691.0,42.01248074351771,-87.67122663598093,0.153,27.28,72.72
1.0,2017,6,344,1663.0,42.01197953482849,-87.67029883768605,0.169,26.49,73.51
1.0,2017,7,406,1968.0,42.012367718315275,-87.67105050354186,0.165,29.93,70.07
1.0,2017,8,381,1776.0,42.011436336582676,-87.67050277122047,0.144,28.25,71.75
1.0,2017,9,351,1731.0,42.01161252745869,-87.67039507009117,0.117,27.64,72.36
1.0,2017,10,398,1946.0,42.01258961869095,-87.67111941645477,0.188,29.38,70.62
1.0,2017,11,355,1763.0,42.01185925614648,-87.67054644468169,0.152,27.6,72.4
1.0,2017,12,281,1371.0,42.01319855393594,-87.67124016754804,0.153,23.31,76.69
1.0,2018,1,276,1351.0,42.012841841289855,-87.6709552226558,0.181,22.79,77.21
1.0,2018,2,245,1257.0,42.01247248171837,-87.67070902102448,0.216,21.17,78.83
1.0,2018,3,308,1523.0,42.01212654081818,-87.67103585290259,0.162,24.84,75.16
1.0,2018,4,256,1252.0,42.012272503808596,-87.67062559571093,0.191,21.58,78.42
1.0,2018,5,305,1463.0,42.01163438537377,-87.6705393981082,0.128,24.69,75.31
1.0,2018,6,336,1604.0,42.01312561988691,-87.6705339083006,0.17,25.89,74.11
1.0,2018,7,388,1938.0,42.0129537129665,-87.67033052336082,0.188,29.14,70.86
1.0,2018,8,400,1920.0,42.012579097585004,-87.67085141980749,0.165,29.46,70.54
1.0,2018,9,342,1671.0,42.01264187539766,-87.67085487073392,0.17,26.5,73.5
1.0,2018,10,348,1729.0,42.01177124181896,-87.67122799465804,0.172,27.01,72.99
1.0,2018,11,271,1336.0,42.01293191394465,-87.67097733614023,0.144,22.96,77.04
1.0,2018,12,276,1327.0,42.011225408557976,-87.67043787339492,0.185,22.58,77.42
1.0,2019,1,287,1399.0,42.01237036680836,-87.67128296388502,0.167,23.49,76.51
1.0,2019,2,285,1342.0,42.01212797577544,-87.6711009679579,0.161,23.09,76.91
1.0,2019,3,308,1473.0,42.011751934866886,-87.67059338894805,0.211,23.99,76.01
1.0,2019,4,257,1245.0,42.01144802484825,-87.67037291784047,0.16,21.87,78.13
1.0,2019,5,395,1950.0,42.01193996381266,-87.67035331152404,0.139,29.85,70.15
1.0,2019,6,331,1616.0,42.01229501321148,-87.67060719376133,0.097,26.62,73.38
1.0,2019,7,385,1882.0,42.013072434748054,-87.6709820021922,0.195,28.61,71.39
1.0,2019,8,396,1942.0,42.01186211457323,-87.6700156257702,0.164,29.56,70.44
1.0,2019,9,374,1756.0,42.01165812528877,-87.67002095551337,0.193,27.49,72.51
1.0,2019,10,345,1649.0,42.01178610096232,-87.66990248206956,0.186,26.23,73.77
1.0,2019,11,292,1439.0,42.011705086270545,-87.67030963261303,0.188,23.67,76.33
1.0,2019,12,352,1675.0,42.01275866517898,-87.67070656603124,0.162,26.79,73.21
1.0,2020,1,316,1449.0,42.01300077842405,-87.6696199539367,0.177,24.3,75.7
1.0,2020,2,286,1335.0,42.01156814947552,-87.66976075871678,0.157,23.1,76.9
1.0,2020,3,251,1258.0,42.01214124487649,-87.67062917788446,0.151,21.93,78.07
1.0,2020,4,189,914.0,42.01162033541799,-87.6693302525291,0.063,19.12,80.88
1.0,2020,5,242,1235.0,42.011875907785125,-87.6703958298595,0.091,22.2,77.8
1.0,2020,6,284,1472.0,42.01240282783451,-87.67060753087677,0.095,24.69,75.31
1.0,2020,7,289,1473.0,42.01238750959862,-87.67020625379585,0.097,24.78,75.22
1.0,2020,8,312,1622.0,42.01112439485577,-87.6700289899391,0.128,25.99,74.01
1.0,2020,9,273,1342.0,42.01119031987912,-87.6705986482381,0.128,23.2,76.8
1.0,2020,10,295,1447.0,42.012119174481356,-87.67018959089152,0.119,24.48,75.52
1.0,2020,11,231,1162.0,42.01199102648918,-87.67049126795237,0.113,21.24,78.76
1.0,2020,12,236,1191.0,42.01143980141949,-87.67002634416527,0.102,21.66,78.34
1.0,2021,1,249,1300.0,42.011971497192775,-87.6702821316747,0.092,22.8,77.2
1.0,2021,2,189,972.0,42.01146882402646,-87.67012400200001,0.095,19.23,80.77
1.0,2021,3,252,1295.0,42.01226886883334,-87.67111783844841,0.171,22.03,77.97
1.0,2021,4,247,1176.0,42.01187034262348,-87.66973068443725,0.158,21.19,78.81
1.0,2021,5,311,1531.0,42.01204468878457,-87.66981890614791,0.129,25.3,74.7
1.0,2021,6,307,1600.0,42.011882930244305,-87.66934412891204,0.124,25.78,74.22
1.0,2021,7,248,1263.0,42.01144566363307,-87.67010881700402,0.077,22.66,77.34
1.0,2021,8,310,1543.0,42.01107321006452,-87.67036146890968,0.09,25.75,74.25
1.0,2021,9,297,1511.0,42.01089316306061,-87.66949749873737,0.077,25.4,74.6
1.0,2021,10,291,1451.0,42.011373167429554,-87.66979983200343,0.144,24.18,75.82
1.0,2021,11,311,1481.0,42.01236941859164,-87.6700149822283,0.09,25.31,74.69
1.0,2021,12,284,1491.0,42.0112394099331,-87.67019248043309,0.127,24.52,75.48
1.0,2022,1,281,1379.0,42.01138288871886,-87.66968415309609,0.078,24.12,75.88
1.0,2022,2,265,1338.0,42.01135475981509,-87.6703646407698,0.14,22.9,77.1
1.0,2022,3,245,1170.0,42.011016924342854,-87.67015176708571,0.106,21.63,78.37
1.0,2022,4,294,1429.0,42.0117005640068,-87.66982940178231,0.163,23.88,76.12
1.0,2022,5,354,1821.0,42.01189136295198,-87.66992878222598,0.113,28.4,71.6
