id,date,primary_type,description,arrest,community_area,latitude,longitude
13140855,2023-01-01T00:00:00.000,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,False,46,41.745738706,-87.57588269
12938772,2023-01-01T00:00:00.000,CRIMINAL SEXUAL ASSAULT,PREDATORY,True,68,41.760645062,-87.651574764
13347280,2023-01-01T00:00:00.000,DECEPTIVE PRACTICE,EMBEZZLEMENT,False,8,,
13434255,2023-01-01T00:00:00.000,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,75,,
13060487,2023-01-01T00:00:00.000,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,False,30,41.853202129,-87.699132122
13222722,2023-01-01T00:00:00.000,THEFT,OVER $500,False,77,41.976851852,-87.654999693
13223672,2023-01-01T00:00:00.000,DECEPTIVE PRACTICE,EMBEZZLEMENT,False,28,41.887136371,-87.655685196
13351251,2023-01-01T00:00:00.000,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,6,,
13230245,2023-01-01T00:00:00.000,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,49,41.710038846,-87.611405921
13239074,2023-01-01T00:00:00.000,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,42,41.783134908,-87.6059887
13010320,2023-01-01T00:00:00.000,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,False,23,41.903485987,-87.731963815
13249036,2023-01-01T00:00:00.000,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,False,24,41.911222851,-87.677481081
13364235,2023-01-01T00:00:00.000,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,28,,
13269386,2023-01-01T00:00:00.000,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,False,77,41.990816326,-87.668476414
